state_name,city_code,city_name
GJ,21,"NAVSARI, GJ"
GJ,22,"NARMADA, GJ"
GJ,23,"ANAND, GJ"
GJ,24,"PATAN, GJ"
GJ,25,"PORBANDAR, GJ"
GJ,26,"VYARA, GJ"
GJ,27,"AHMEDABAD(EAST), GJ"
GJ,30,"AAHWA, GJ"
GJ,31,"ARVALLI (MODASA), GJ"
GJ,32,"GIRSOMNATH (VERAVAL), GJ"
GJ,33,"BOTAD, GJ"
GJ,34,"CHHOTAUDAIPUR, GJ"
GJ,35,"MAHISAGAR (LUNAVADA), GJ"
GJ,36,"MORBI, GJ"
GJ,37,"DWARKA, GJ"
GJ,38,"AHMEDABAD, GJ"
HR,1," AMBALA, HR"
HR,2," JAGADHARI, HR"
HR,3," PANCHKULA, HR"
HR,4," NARAINGARH, HR"
HR,5," KARNAL, HR"
HR,6," PANIPAT, HR"
HR,7," KURUKSHETRA, HR"
HR,8,"  KAITHAL, HR"
HR,9," GUHLA, HR"
HR,10," SONIPAT, HR"
HR,11," GOHANA, HR"
HR,12,"ROHTAK, HR"
HR,13," BAHADURGARH, HR"
HR,14," JHAJJAR, HR"
HR,15," MEHAM, HR"
HR,16," BHIWANI, HR"
HR,17," SIWANI, HR"
HR,18," LOHARU, HR"
HR,19," CHARKHI DADRI, HR"
HR,20," HISAR, HR"
HR,21," HANSI, HR"
HR,22," FETEHABAD, HR"
HR,23," TOHANA, HR"
HR,24," SIRSA, HR"
HR,25," DABWALI, HR"
HR,26," GURGAON, HR"
HR,27," NUH, HR"
HR,28," FEROZEPUR ZIRKHA, HR"
HR,29," BALLABGARH, HR"
HR,30,"  PALWAL, HR"
HR,31," JIND, HR"
HR,32," NARWANA, HR"
HR,33," SAFIDON, HR"
HR,34," MOHINDERGARH, HR"
HR,35," NARNAUL, HR"
HR,36," REWARI, HR"
HR,37,", AMBALA, HR"
HR,38,", FARIDABAD, HR"
HR,39,", HISAR, HR"
HR,40," ASSANDH, HR"
HR,41," PEHOWA, HR"
HR,42," GANAUR, HR"
HR,43," KOSLI, HR"
HR,44," ELLENABAD, HR"
HR,45,",KARNAL, HR"
HR,46,",ROHTAK, HR"
HR,47,",REWARI, HR"
HR,48," TOSHAM, HR"
HR,49," KALKA, HR"
HR,50," HODEL, HR"
HR,51," FARIDABAD, HR"
HR,52," HATHIN, HR"
HR,53,"CANCEL (ADAMPUR), HR"
HR,54," BARARA, HR"
HR,55,",GURGAON, HR"
HR,56,",JIND, HR"
HR,57,",SIRSA, HR"
HR,58,",YAMUNA NAGAR, HR"
HR,59," RATIA, HR"
HR,60," SAMALKHA, HR"
HR,61,",BHIWANI, HR"
HR,62,",FATEHABAD, HR"
HR,63,",JHAJJAR, HR"
HR,64,",KAITHAL, HR"
HR,65,",KURUKSHETRA, HR"
HR,66,",MOHINDERGARH, HR"
HR,67,",PANIPAT, HR"
HR,68,",PANCHKULA, HR"
HR,69,",SONIPAT, HR"
HR,70,"STA,HARYANA(HQ), HR"
HR,71," BILASPUR, HR"
HR,72," GURGAON(SOUTH), HR"
HR,73,",PALWAL, HR"
HR,74,",MEWAT(NUH), HR"
HR,75,"INDIRI, HR"
HR,76,"PATAUDI, HR"
HR,77,"BERI, HR"
HR,78,"SHAHABAD, HR"
HR,79,"KHARKHONDA, HR"
HR,80,"BARWALA, HR"
HR,81," BAWAL, HR"
HR,82,"SDM OFFICE,KANINA, HR"
HR,83," KALAYAT, HR"
HP,3,"SHIMLA-URBAN, HP"
HP,6,"RAMPUR, HP"
HP,8,"CHAUPAL, HP"
HP,9,"THEOG, HP"
HP,10,"ROHRU, HP"
HP,11,"ARKI, HP"
HP,12,"NALAGARH, HP"
HP,13,"KANDAGHAT, HP"
HP,14,"SOLAN, HP"
HP,15,"PARWANOO, HP"
HP,16,"RAJGARH, HP"
HP,17,"PONTA SAHIB, HP"
HP,18,"NAHAN, HP"
HP,19,"AMB, HP"
HP,20,"UNA, HP"
HP,21,"BARSAR, HP"
HP,22,"HAMIRPUR, HP"
HP,23,"GHUMARWIN, HP"
HP,24,"BILASPUR SADAR, HP"
HP,25,"KALPA, HP"
HP,26,"NICHAR (BHABANAGAR), HP"
HP,27,"POOH, HP"
HP,28,"SARKAGHAT, HP"
HP,29,"JOGINDERNAGAR, HP"
HP,30,"KARSOG, HP"
HP,31,"SUNDERNAGAR, HP"
HP,32,"GOHAR, HP"
HP,33,"MANDI SADAR, HP"
HP,34,"KULLU, HP"
HP,35,"ANNI, HP"
HP,36,"DEHRA, HP"
HP,37,"PALAMPUR, HP"
HP,38,"NURPUR, HP"
HP,39,"DHARAMSALA, HP"
HP,40,"KANGRA, HP"
HP,41,"KAZA, HP"
HP,42,"KEYLONG, HP"
HP,43,"UDAIPUR, HP"
HP,44,"CHURAH, HP"
HP,45,"PANGI, HP"
HP,46,"BHARMOUR, HP"
HP,47,"DALHOUSIE, HP"
HP,48,"CHAMBA, HP"
HP,49,"BANJAR, HP"
HP,51,"SHIMLA-RURAL, HP"
HP,53,"BAIJNATH, HP"
HP,54,"JAWALI, HP"
HP,55,"NADUAN, HP"
HP,56,"JAISINGHPUR, HP"
HP,57,"CHOWARI, HP"
HP,58,"MANALI, HP"
HP,62,"STA SHIMLA, HP"
HP,63,"SHIMLA, HP"
HP,64,"SOLAN, HP"
HP,65,"MANDI, HP"
